Ref,Val,Package,PosX,PosY,Rot,Side
"D5","RGB","LED_D5.0mm-4x0.8mm_RGB",192.385000,-52.010000,0.000000,top
"D6","RGB","LED_D5.0mm-4x0.8mm_RGB",198.885000,-52.010000,0.000000,top
"D7","RGB","LED_D5.0mm-4x0.8mm_RGB",205.385000,-52.010000,0.000000,top
"D8","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-52.010000,0.000000,top
"D9","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-58.510000,0.000000,top
"D10","RGB","LED_D5.0mm-4x0.8mm_RGB",192.385000,-58.510000,0.000000,top
"D11","RGB","LED_D5.0mm-4x0.8mm_RGB",198.885000,-58.510000,0.000000,top
"D12","RGB","LED_D5.0mm-4x0.8mm_RGB",205.385000,-58.510000,0.000000,top
"D13","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-58.510000,0.000000,top
"D14","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-65.010000,0.000000,top
"D15","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-65.010000,0.000000,top
"D16","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-65.010000,0.000000,top
"D17","RGB","LED_D5.0mm-4x0.8mm_RGB",205.375000,-65.010000,0.000000,top
"D18","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-65.010000,0.000000,top
"D19","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-71.510000,0.000000,top
"D20","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-71.510000,0.000000,top
"D21","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-71.510000,0.000000,top
"D22","RGB","LED_D5.0mm-4x0.8mm_RGB",205.380000,-71.510000,0.000000,top
"D23","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-71.510000,0.000000,top
"D24","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-78.010000,0.000000,top
"D25","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-78.010000,0.000000,top
"D26","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-78.010000,0.000000,top
"D27","RGB","LED_D5.0mm-4x0.8mm_RGB",205.375000,-78.010000,0.000000,top
"D28","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-78.010000,0.000000,top
"D29","Green","LED_D5.0mm",221.475000,-92.959835,0.000000,top
"J1","Program Conn","PinSocket_5x2.54_SMD_90deg_952-3198-1-ND",208.700000,-92.000000,180.000000,top
"J4","Misc conn 1","PinSocket_1x02_P2.00mm_Vertical",182.325000,-49.375000,-90.000000,top
"J12","Shift Reg Conn","PinSocket_1x03_P2.00mm_Vertical",224.100000,-62.900000,180.000000,top
"R1","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.900000,-67.800000,-90.000000,top
"R2","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.950000,-83.300000,180.000000,top
"R3","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.500000,-83.300000,180.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.675000,-85.000000,-90.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.200000,-85.000000,-90.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.125000,-84.959835,-90.000000,top
"SW1","Power switch","OS102011MA1QN1_CNK",223.900000,-82.500000,90.000000,top
"SW2","SW_Push","SW_TL1105SPF160Q",222.375000,-69.000000,-90.000000,top
